image_id,modality,organ,annotated_region,source
I4695,CT,Brain,Muscle abnormality,RAD-ChestXR
I4696,MRI,Abdomen,Lung abnormality,MIDRC
I4697,CT,Lung,Muscle abnormality,RAD-ChestXR
I4698,MRI,Lung,Lung abnormality,MIDRC
I4699,CT,Lung,Lung abnormality,RAD-ChestXR
I4700,MRI,Abdomen,Abdomen abnormality,MIDRC
I4701,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4702,MRI,Muscle,Brain abnormality,MIDRC
I4703,CT,Brain,Brain abnormality,RAD-ChestXR
I4704,MRI,Brain,Muscle abnormality,MIDRC
I4705,CT,Brain,Lung abnormality,RAD-ChestXR
I4706,MRI,Muscle,Brain abnormality,MIDRC
I4707,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4708,MRI,Muscle,Muscle abnormality,MIDRC
I4709,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4710,MRI,Muscle,Muscle abnormality,MIDRC
I4711,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4712,MRI,Lung,Brain abnormality,MIDRC
I4713,CT,Brain,Lung abnormality,RAD-ChestXR
I4714,MRI,Lung,Muscle abnormality,MIDRC
I4715,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4716,MRI,Lung,Lung abnormality,MIDRC
I4717,CT,Muscle,Lung abnormality,RAD-ChestXR
I4718,MRI,Brain,Lung abnormality,MIDRC
I4719,CT,Muscle,Lung abnormality,RAD-ChestXR
I4720,MRI,Abdomen,Brain abnormality,MIDRC
I4721,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4722,MRI,Muscle,Abdomen abnormality,MIDRC
I4723,CT,Brain,Brain abnormality,RAD-ChestXR
I4724,MRI,Brain,Abdomen abnormality,MIDRC
I4725,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4726,MRI,Brain,Abdomen abnormality,MIDRC
I4727,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4728,MRI,Abdomen,Muscle abnormality,MIDRC
I4729,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4730,MRI,Brain,Abdomen abnormality,MIDRC
I4731,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4732,MRI,Brain,Abdomen abnormality,MIDRC
I4733,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4734,MRI,Abdomen,Lung abnormality,MIDRC
I4735,CT,Muscle,Brain abnormality,RAD-ChestXR
I4736,MRI,Lung,Muscle abnormality,MIDRC
I4737,CT,Brain,Lung abnormality,RAD-ChestXR
I4738,MRI,Lung,Muscle abnormality,MIDRC
I4739,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4740,MRI,Brain,Muscle abnormality,MIDRC
I4741,CT,Muscle,Brain abnormality,RAD-ChestXR
I4742,MRI,Muscle,Abdomen abnormality,MIDRC
I4743,CT,Lung,Lung abnormality,RAD-ChestXR
I4744,MRI,Muscle,Lung abnormality,MIDRC
I4745,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4746,MRI,Brain,Brain abnormality,MIDRC
I4747,CT,Brain,Lung abnormality,RAD-ChestXR
I4748,MRI,Lung,Muscle abnormality,MIDRC
I4749,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4750,MRI,Brain,Muscle abnormality,MIDRC
I4751,CT,Brain,Muscle abnormality,RAD-ChestXR
I4752,MRI,Brain,Brain abnormality,MIDRC
I4753,CT,Lung,Brain abnormality,RAD-ChestXR
I4754,MRI,Muscle,Brain abnormality,MIDRC
I4755,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4756,MRI,Muscle,Muscle abnormality,MIDRC
I4757,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4758,MRI,Lung,Lung abnormality,MIDRC
I4759,CT,Lung,Muscle abnormality,RAD-ChestXR
I4760,MRI,Brain,Brain abnormality,MIDRC
I4761,CT,Lung,Lung abnormality,RAD-ChestXR
I4762,MRI,Lung,Abdomen abnormality,MIDRC
I4763,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4764,MRI,Abdomen,Abdomen abnormality,MIDRC
I4765,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4766,MRI,Abdomen,Brain abnormality,MIDRC
I4767,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4768,MRI,Lung,Brain abnormality,MIDRC
I4769,CT,Lung,Muscle abnormality,RAD-ChestXR
I4770,MRI,Muscle,Abdomen abnormality,MIDRC
I4771,CT,Lung,Muscle abnormality,RAD-ChestXR
I4772,MRI,Lung,Abdomen abnormality,MIDRC
I4773,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4774,MRI,Brain,Lung abnormality,MIDRC
I4775,CT,Muscle,Lung abnormality,RAD-ChestXR
I4776,MRI,Brain,Abdomen abnormality,MIDRC
I4777,CT,Brain,Muscle abnormality,RAD-ChestXR
I4778,MRI,Lung,Lung abnormality,MIDRC
I4779,CT,Brain,Muscle abnormality,RAD-ChestXR
I4780,MRI,Lung,Muscle abnormality,MIDRC
I4781,CT,Muscle,Lung abnormality,RAD-ChestXR
I4782,MRI,Lung,Lung abnormality,MIDRC
I4783,CT,Muscle,Brain abnormality,RAD-ChestXR
I4784,MRI,Lung,Abdomen abnormality,MIDRC
I4785,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4786,MRI,Brain,Muscle abnormality,MIDRC
I4787,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4788,MRI,Abdomen,Lung abnormality,MIDRC
I4789,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4790,MRI,Lung,Brain abnormality,MIDRC
I4791,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4792,MRI,Abdomen,Lung abnormality,MIDRC
I4793,CT,Lung,Muscle abnormality,RAD-ChestXR
I4794,MRI,Lung,Brain abnormality,MIDRC
I4795,CT,Muscle,Lung abnormality,RAD-ChestXR
I4796,MRI,Lung,Abdomen abnormality,MIDRC
I4797,CT,Lung,Brain abnormality,RAD-ChestXR
I4798,MRI,Muscle,Muscle abnormality,MIDRC
I4799,CT,Lung,Lung abnormality,RAD-ChestXR
I4800,MRI,Abdomen,Muscle abnormality,MIDRC
I4801,CT,Muscle,Lung abnormality,RAD-ChestXR
I4802,MRI,Brain,Brain abnormality,MIDRC
I4803,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4804,MRI,Abdomen,Brain abnormality,MIDRC
I4805,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4806,MRI,Brain,Abdomen abnormality,MIDRC
I4807,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4808,MRI,Muscle,Brain abnormality,MIDRC
I4809,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4810,MRI,Lung,Lung abnormality,MIDRC
I4811,CT,Muscle,Brain abnormality,RAD-ChestXR
I4812,MRI,Lung,Lung abnormality,MIDRC
I4813,CT,Lung,Lung abnormality,RAD-ChestXR
I4814,MRI,Abdomen,Muscle abnormality,MIDRC
I4815,CT,Lung,Lung abnormality,RAD-ChestXR
I4816,MRI,Muscle,Abdomen abnormality,MIDRC
I4817,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4818,MRI,Brain,Abdomen abnormality,MIDRC
I4819,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4820,MRI,Muscle,Abdomen abnormality,MIDRC
I4821,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4822,MRI,Muscle,Brain abnormality,MIDRC
I4823,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4824,MRI,Muscle,Abdomen abnormality,MIDRC
I4825,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4826,MRI,Muscle,Muscle abnormality,MIDRC
I4827,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4828,MRI,Abdomen,Lung abnormality,MIDRC
I4829,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4830,MRI,Lung,Lung abnormality,MIDRC
I4831,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4832,MRI,Abdomen,Abdomen abnormality,MIDRC
I4833,CT,Muscle,Brain abnormality,RAD-ChestXR
I4834,MRI,Muscle,Abdomen abnormality,MIDRC
I4835,CT,Lung,Brain abnormality,RAD-ChestXR
I4836,MRI,Muscle,Brain abnormality,MIDRC
I4837,CT,Brain,Brain abnormality,RAD-ChestXR
I4838,MRI,Abdomen,Brain abnormality,MIDRC
I4839,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4840,MRI,Muscle,Lung abnormality,MIDRC
I4841,CT,Brain,Muscle abnormality,RAD-ChestXR
I4842,MRI,Muscle,Muscle abnormality,MIDRC
I4843,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4844,MRI,Brain,Muscle abnormality,MIDRC
I4845,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4846,MRI,Brain,Muscle abnormality,MIDRC
I4847,CT,Brain,Lung abnormality,RAD-ChestXR
I4848,MRI,Muscle,Brain abnormality,MIDRC
I4849,CT,Muscle,Brain abnormality,RAD-ChestXR
I4850,MRI,Lung,Abdomen abnormality,MIDRC
I4851,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4852,MRI,Lung,Brain abnormality,MIDRC
I4853,CT,Muscle,Brain abnormality,RAD-ChestXR
I4854,MRI,Muscle,Muscle abnormality,MIDRC
I4855,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4856,MRI,Abdomen,Brain abnormality,MIDRC
I4857,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4858,MRI,Abdomen,Brain abnormality,MIDRC
I4859,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4860,MRI,Muscle,Lung abnormality,MIDRC
I4861,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4862,MRI,Brain,Brain abnormality,MIDRC
I4863,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4864,MRI,Brain,Lung abnormality,MIDRC
I4865,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4866,MRI,Brain,Muscle abnormality,MIDRC
I4867,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4868,MRI,Brain,Brain abnormality,MIDRC
I4869,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4870,MRI,Muscle,Muscle abnormality,MIDRC
I4871,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4872,MRI,Brain,Muscle abnormality,MIDRC
I4873,CT,Brain,Brain abnormality,RAD-ChestXR
I4874,MRI,Brain,Lung abnormality,MIDRC
I4875,CT,Lung,Brain abnormality,RAD-ChestXR
I4876,MRI,Muscle,Brain abnormality,MIDRC
I4877,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4878,MRI,Brain,Brain abnormality,MIDRC
I4879,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4880,MRI,Abdomen,Lung abnormality,MIDRC
I4881,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4882,MRI,Muscle,Brain abnormality,MIDRC
I4883,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4884,MRI,Abdomen,Muscle abnormality,MIDRC
I4885,CT,Muscle,Brain abnormality,RAD-ChestXR
I4886,MRI,Brain,Lung abnormality,MIDRC
I4887,CT,Muscle,Brain abnormality,RAD-ChestXR
I4888,MRI,Brain,Muscle abnormality,MIDRC
I4889,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4890,MRI,Brain,Muscle abnormality,MIDRC
I4891,CT,Brain,Brain abnormality,RAD-ChestXR
I4892,MRI,Abdomen,Abdomen abnormality,MIDRC
I4893,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I4894,MRI,Muscle,Brain abnormality,MIDRC
I4895,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4896,MRI,Lung,Abdomen abnormality,MIDRC
I4897,CT,Lung,Muscle abnormality,RAD-ChestXR
I4898,MRI,Muscle,Brain abnormality,MIDRC
I4899,CT,Lung,Muscle abnormality,RAD-ChestXR
I4900,MRI,Muscle,Brain abnormality,MIDRC
I4901,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4902,MRI,Muscle,Lung abnormality,MIDRC
I4903,CT,Brain,Muscle abnormality,RAD-ChestXR
I4904,MRI,Muscle,Brain abnormality,MIDRC
I4905,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4906,MRI,Brain,Abdomen abnormality,MIDRC
I4907,CT,Muscle,Brain abnormality,RAD-ChestXR
I4908,MRI,Abdomen,Muscle abnormality,MIDRC
I4909,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4910,MRI,Lung,Muscle abnormality,MIDRC
I4911,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4912,MRI,Muscle,Abdomen abnormality,MIDRC
I4913,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I4914,MRI,Brain,Brain abnormality,MIDRC
I4915,CT,Lung,Lung abnormality,RAD-ChestXR
I4916,MRI,Muscle,Brain abnormality,MIDRC
I4917,CT,Lung,Muscle abnormality,RAD-ChestXR
I4918,MRI,Abdomen,Lung abnormality,MIDRC
I4919,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4920,MRI,Abdomen,Brain abnormality,MIDRC
I4921,CT,Lung,Brain abnormality,RAD-ChestXR
I4922,MRI,Muscle,Muscle abnormality,MIDRC
I4923,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4924,MRI,Brain,Brain abnormality,MIDRC
I4925,CT,Muscle,Brain abnormality,RAD-ChestXR
I4926,MRI,Brain,Abdomen abnormality,MIDRC
I4927,CT,Lung,Lung abnormality,RAD-ChestXR
I4928,MRI,Muscle,Abdomen abnormality,MIDRC
I4929,CT,Brain,Brain abnormality,RAD-ChestXR
I4930,MRI,Lung,Muscle abnormality,MIDRC
I4931,CT,Muscle,Lung abnormality,RAD-ChestXR
I4932,MRI,Abdomen,Muscle abnormality,MIDRC
I4933,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4934,MRI,Lung,Muscle abnormality,MIDRC
I4935,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4936,MRI,Muscle,Brain abnormality,MIDRC
I4937,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4938,MRI,Abdomen,Brain abnormality,MIDRC
I4939,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4940,MRI,Muscle,Muscle abnormality,MIDRC
I4941,CT,Lung,Brain abnormality,RAD-ChestXR
I4942,MRI,Abdomen,Muscle abnormality,MIDRC
I4943,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4944,MRI,Abdomen,Lung abnormality,MIDRC
I4945,CT,Lung,Muscle abnormality,RAD-ChestXR
I4946,MRI,Muscle,Muscle abnormality,MIDRC
I4947,CT,Muscle,Lung abnormality,RAD-ChestXR
I4948,MRI,Lung,Brain abnormality,MIDRC
I4949,CT,Brain,Brain abnormality,RAD-ChestXR
I4950,MRI,Brain,Abdomen abnormality,MIDRC
I4951,CT,Brain,Lung abnormality,RAD-ChestXR
I4952,MRI,Brain,Abdomen abnormality,MIDRC
I4953,CT,Lung,Brain abnormality,RAD-ChestXR
I4954,MRI,Abdomen,Lung abnormality,MIDRC
I4955,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4956,MRI,Muscle,Brain abnormality,MIDRC
I4957,CT,Brain,Abdomen abnormality,RAD-ChestXR
I4958,MRI,Lung,Lung abnormality,MIDRC
I4959,CT,Brain,Muscle abnormality,RAD-ChestXR
I4960,MRI,Muscle,Brain abnormality,MIDRC
I4961,CT,Muscle,Muscle abnormality,RAD-ChestXR
I4962,MRI,Lung,Muscle abnormality,MIDRC
I4963,CT,Abdomen,Lung abnormality,RAD-ChestXR
I4964,MRI,Abdomen,Muscle abnormality,MIDRC
I4965,CT,Muscle,Brain abnormality,RAD-ChestXR
I4966,MRI,Abdomen,Abdomen abnormality,MIDRC
I4967,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4968,MRI,Brain,Abdomen abnormality,MIDRC
I4969,CT,Lung,Lung abnormality,RAD-ChestXR
I4970,MRI,Abdomen,Muscle abnormality,MIDRC
I4971,CT,Muscle,Lung abnormality,RAD-ChestXR
I4972,MRI,Abdomen,Lung abnormality,MIDRC
I4973,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4974,MRI,Brain,Brain abnormality,MIDRC
I4975,CT,Lung,Brain abnormality,RAD-ChestXR
I4976,MRI,Abdomen,Brain abnormality,MIDRC
I4977,CT,Lung,Lung abnormality,RAD-ChestXR
I4978,MRI,Muscle,Brain abnormality,MIDRC
I4979,CT,Muscle,Brain abnormality,RAD-ChestXR
I4980,MRI,Muscle,Muscle abnormality,MIDRC
I4981,CT,Lung,Brain abnormality,RAD-ChestXR
I4982,MRI,Muscle,Brain abnormality,MIDRC
I4983,CT,Abdomen,Brain abnormality,RAD-ChestXR
I4984,MRI,Abdomen,Lung abnormality,MIDRC
I4985,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4986,MRI,Lung,Brain abnormality,MIDRC
I4987,CT,Brain,Lung abnormality,RAD-ChestXR
I4988,MRI,Brain,Lung abnormality,MIDRC
I4989,CT,Lung,Abdomen abnormality,RAD-ChestXR
I4990,MRI,Lung,Muscle abnormality,MIDRC
I4991,CT,Lung,Brain abnormality,RAD-ChestXR
I4992,MRI,Muscle,Muscle abnormality,MIDRC
I4993,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I4994,MRI,Abdomen,Lung abnormality,MIDRC
I4995,CT,Brain,Muscle abnormality,RAD-ChestXR
I4996,MRI,Abdomen,Muscle abnormality,MIDRC
I4997,CT,Brain,Lung abnormality,RAD-ChestXR
I4998,MRI,Abdomen,Muscle abnormality,MIDRC
I4999,CT,Lung,Muscle abnormality,RAD-ChestXR
I5000,MRI,Brain,Brain abnormality,MIDRC
I5001,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5002,MRI,Muscle,Abdomen abnormality,MIDRC
I5003,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5004,MRI,Muscle,Muscle abnormality,MIDRC
I5005,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5006,MRI,Abdomen,Abdomen abnormality,MIDRC
I5007,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5008,MRI,Lung,Abdomen abnormality,MIDRC
I5009,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5010,MRI,Lung,Abdomen abnormality,MIDRC
I5011,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5012,MRI,Lung,Brain abnormality,MIDRC
I5013,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5014,MRI,Abdomen,Brain abnormality,MIDRC
I5015,CT,Muscle,Muscle abnormality,RAD-ChestXR
I5016,MRI,Brain,Brain abnormality,MIDRC
I5017,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5018,MRI,Abdomen,Lung abnormality,MIDRC
I5019,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5020,MRI,Abdomen,Lung abnormality,MIDRC
I5021,CT,Muscle,Muscle abnormality,RAD-ChestXR
I5022,MRI,Muscle,Lung abnormality,MIDRC
I5023,CT,Muscle,Brain abnormality,RAD-ChestXR
I5024,MRI,Lung,Abdomen abnormality,MIDRC
I5025,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5026,MRI,Muscle,Abdomen abnormality,MIDRC
I5027,CT,Lung,Abdomen abnormality,RAD-ChestXR
I5028,MRI,Muscle,Lung abnormality,MIDRC
I5029,CT,Lung,Abdomen abnormality,RAD-ChestXR
I5030,MRI,Abdomen,Abdomen abnormality,MIDRC
I5031,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5032,MRI,Muscle,Brain abnormality,MIDRC
I5033,CT,Brain,Brain abnormality,RAD-ChestXR
I5034,MRI,Lung,Abdomen abnormality,MIDRC
I5035,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5036,MRI,Abdomen,Lung abnormality,MIDRC
I5037,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5038,MRI,Abdomen,Brain abnormality,MIDRC
I5039,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5040,MRI,Muscle,Muscle abnormality,MIDRC
I5041,CT,Brain,Brain abnormality,RAD-ChestXR
I5042,MRI,Muscle,Lung abnormality,MIDRC
I5043,CT,Lung,Lung abnormality,RAD-ChestXR
I5044,MRI,Brain,Brain abnormality,MIDRC
I5045,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5046,MRI,Abdomen,Abdomen abnormality,MIDRC
I5047,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5048,MRI,Muscle,Brain abnormality,MIDRC
I5049,CT,Brain,Lung abnormality,RAD-ChestXR
I5050,MRI,Muscle,Lung abnormality,MIDRC
I5051,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5052,MRI,Muscle,Abdomen abnormality,MIDRC
I5053,CT,Lung,Brain abnormality,RAD-ChestXR
I5054,MRI,Muscle,Abdomen abnormality,MIDRC
I5055,CT,Brain,Lung abnormality,RAD-ChestXR
I5056,MRI,Brain,Brain abnormality,MIDRC
I5057,CT,Muscle,Brain abnormality,RAD-ChestXR
I5058,MRI,Abdomen,Abdomen abnormality,MIDRC
I5059,CT,Lung,Lung abnormality,RAD-ChestXR
I5060,MRI,Lung,Muscle abnormality,MIDRC
I5061,CT,Brain,Brain abnormality,RAD-ChestXR
I5062,MRI,Brain,Lung abnormality,MIDRC
I5063,CT,Brain,Abdomen abnormality,RAD-ChestXR
I5064,MRI,Brain,Abdomen abnormality,MIDRC
I5065,CT,Muscle,Brain abnormality,RAD-ChestXR
I5066,MRI,Brain,Abdomen abnormality,MIDRC
I5067,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5068,MRI,Muscle,Brain abnormality,MIDRC
I5069,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5070,MRI,Muscle,Brain abnormality,MIDRC
I5071,CT,Lung,Muscle abnormality,RAD-ChestXR
I5072,MRI,Lung,Brain abnormality,MIDRC
I5073,CT,Muscle,Lung abnormality,RAD-ChestXR
I5074,MRI,Muscle,Brain abnormality,MIDRC
I5075,CT,Muscle,Lung abnormality,RAD-ChestXR
I5076,MRI,Lung,Abdomen abnormality,MIDRC
I5077,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5078,MRI,Abdomen,Abdomen abnormality,MIDRC
I5079,CT,Muscle,Lung abnormality,RAD-ChestXR
I5080,MRI,Lung,Abdomen abnormality,MIDRC
I5081,CT,Muscle,Brain abnormality,RAD-ChestXR
I5082,MRI,Lung,Abdomen abnormality,MIDRC
I5083,CT,Lung,Lung abnormality,RAD-ChestXR
I5084,MRI,Lung,Lung abnormality,MIDRC
I5085,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5086,MRI,Abdomen,Muscle abnormality,MIDRC
I5087,CT,Brain,Brain abnormality,RAD-ChestXR
I5088,MRI,Brain,Abdomen abnormality,MIDRC
I5089,CT,Brain,Abdomen abnormality,RAD-ChestXR
I5090,MRI,Muscle,Abdomen abnormality,MIDRC
I5091,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5092,MRI,Brain,Abdomen abnormality,MIDRC
I5093,CT,Brain,Brain abnormality,RAD-ChestXR
I5094,MRI,Brain,Muscle abnormality,MIDRC
I5095,CT,Brain,Muscle abnormality,RAD-ChestXR
I5096,MRI,Lung,Brain abnormality,MIDRC
I5097,CT,Muscle,Brain abnormality,RAD-ChestXR
I5098,MRI,Muscle,Brain abnormality,MIDRC
I5099,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5100,MRI,Brain,Brain abnormality,MIDRC
I5101,CT,Brain,Brain abnormality,RAD-ChestXR
I5102,MRI,Abdomen,Lung abnormality,MIDRC
I5103,CT,Muscle,Brain abnormality,RAD-ChestXR
I5104,MRI,Brain,Abdomen abnormality,MIDRC
I5105,CT,Brain,Lung abnormality,RAD-ChestXR
I5106,MRI,Brain,Muscle abnormality,MIDRC
I5107,CT,Muscle,Brain abnormality,RAD-ChestXR
I5108,MRI,Lung,Brain abnormality,MIDRC
I5109,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5110,MRI,Muscle,Muscle abnormality,MIDRC
I5111,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I5112,MRI,Abdomen,Muscle abnormality,MIDRC
I5113,CT,Brain,Muscle abnormality,RAD-ChestXR
I5114,MRI,Muscle,Brain abnormality,MIDRC
I5115,CT,Muscle,Muscle abnormality,RAD-ChestXR
I5116,MRI,Abdomen,Brain abnormality,MIDRC
I5117,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5118,MRI,Abdomen,Muscle abnormality,MIDRC
I5119,CT,Brain,Lung abnormality,RAD-ChestXR
I5120,MRI,Abdomen,Abdomen abnormality,MIDRC
I5121,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5122,MRI,Brain,Abdomen abnormality,MIDRC
I5123,CT,Muscle,Brain abnormality,RAD-ChestXR
I5124,MRI,Abdomen,Muscle abnormality,MIDRC
I5125,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5126,MRI,Abdomen,Lung abnormality,MIDRC
I5127,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5128,MRI,Lung,Abdomen abnormality,MIDRC
I5129,CT,Brain,Abdomen abnormality,RAD-ChestXR
I5130,MRI,Muscle,Brain abnormality,MIDRC
I5131,CT,Lung,Brain abnormality,RAD-ChestXR
I5132,MRI,Muscle,Brain abnormality,MIDRC
I5133,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5134,MRI,Muscle,Lung abnormality,MIDRC
I5135,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5136,MRI,Brain,Abdomen abnormality,MIDRC
I5137,CT,Brain,Muscle abnormality,RAD-ChestXR
I5138,MRI,Muscle,Brain abnormality,MIDRC
I5139,CT,Lung,Lung abnormality,RAD-ChestXR
I5140,MRI,Lung,Lung abnormality,MIDRC
I5141,CT,Lung,Brain abnormality,RAD-ChestXR
I5142,MRI,Brain,Abdomen abnormality,MIDRC
I5143,CT,Lung,Abdomen abnormality,RAD-ChestXR
I5144,MRI,Lung,Muscle abnormality,MIDRC
I5145,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5146,MRI,Abdomen,Brain abnormality,MIDRC
I5147,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5148,MRI,Brain,Abdomen abnormality,MIDRC
I5149,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5150,MRI,Muscle,Muscle abnormality,MIDRC
I5151,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I5152,MRI,Lung,Brain abnormality,MIDRC
I5153,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5154,MRI,Lung,Muscle abnormality,MIDRC
I5155,CT,Lung,Lung abnormality,RAD-ChestXR
I5156,MRI,Brain,Abdomen abnormality,MIDRC
I5157,CT,Muscle,Muscle abnormality,RAD-ChestXR
I5158,MRI,Brain,Lung abnormality,MIDRC
I5159,CT,Muscle,Brain abnormality,RAD-ChestXR
I5160,MRI,Brain,Muscle abnormality,MIDRC
I5161,CT,Lung,Abdomen abnormality,RAD-ChestXR
I5162,MRI,Brain,Muscle abnormality,MIDRC
I5163,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5164,MRI,Abdomen,Lung abnormality,MIDRC
I5165,CT,Brain,Muscle abnormality,RAD-ChestXR
I5166,MRI,Muscle,Brain abnormality,MIDRC
I5167,CT,Abdomen,Lung abnormality,RAD-ChestXR
I5168,MRI,Muscle,Abdomen abnormality,MIDRC
I5169,CT,Abdomen,Brain abnormality,RAD-ChestXR
I5170,MRI,Lung,Lung abnormality,MIDRC
I5171,CT,Lung,Brain abnormality,RAD-ChestXR
I5172,MRI,Brain,Lung abnormality,MIDRC
I5173,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I5174,MRI,Abdomen,Abdomen abnormality,MIDRC
I5175,CT,Muscle,Muscle abnormality,RAD-ChestXR
